s0914007
LOSER
Conquer the continents of ASIA and AFRICA., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72
Occupy-Europe-South-America-Asia, 0.08333333333333333, 0.08333333333333333, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08111486697693301, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07990107951832676, 0.07990107951832676, 0.07990107951832676, 0.07931706149900246, 0.07931706149900246, 0.07931706149900246, 0.07872986021534302, 0.07872986021534302, 0.07872986021534302, 0.07813957036633759, 0.07813957036633759, 0.07813957036633759, 0.07754628891672169, 0.07754628891672169, 0.07754628891672169, 0.07695011504347733, 0.07695011504347733, 0.07695011504347733, 0.07635115007899067, 0.07635115007899067, 0.07635115007899067, 0.07574949745091736, 0.07574949745091736, 0.07574949745091736, 0.07574949745091736, 0.07514526261881356, 0.07514526261881356, 0.07453855300759839, 0.07453855300759839, 0.07453855300759839, 0.0755592999152268, 0.0755592999152268, 0.0755592999152268, 0.07658712440867384, 0.07658712440867384, 0.07658712440867384, 0.07596319243461418, 0.07596319243461418, 0.07596319243461418, 0.07699049034434588, 0.07699049034434588, 0.07699049034434588, 0.07802456196558688, 0.07802456196558688, 0.07802456196558688, 0.07752565741806604, 0.07841638962159816, 0.07782448716495315, 0.05176752035763448, 0.05176752035763448, 0.05062810346257616, 0.04942586078203559, 0.04942586078203559, 0.04942586078203559, 0.04739869635160587
Occupy-North-America-Africa, 0.08333333333333333, 0.08333333333333333, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08559298603135368, 0.08559298603135368, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08788160281193548, 0.08788160281193548, 0.08788160281193548, 0.089036356219619, 0.089036356219619, 0.089036356219619, 0.09019784096334642, 0.09019784096334642, 0.09019784096334642, 0.09136587700199511, 0.09136587700199511, 0.09136587700199511, 0.0925402795693139, 0.0925402795693139, 0.0925402795693139, 0.09372085926732486, 0.09372085926732486, 0.09372085926732486, 0.09490742216655662, 0.09490742216655662, 0.09490742216655662, 0.0960997699130453, 0.0960997699130453, 0.0960997699130453, 0.09729769984201866, 0.09729769984201866, 0.09729769984201866, 0.09850100509816528, 0.09850100509816528, 0.09850100509816528, 0.09850100509816528, 0.09970947476237284, 0.09970947476237284, 0.10092289398480317, 0.10092289398480317, 0.10092289398480317, 0.10025885658524054, 0.10025885658524054, 0.10025885658524054, 0.09959021492810236, 0.09959021492810236, 0.09959021492810236, 0.10079477740799225, 0.10079477740799225, 0.10079477740799225, 0.1001147326004711, 0.1001147326004711, 0.1001147326004711, 0.09943020377006241, 0.09943020377006241, 0.09943020377006241, 0.10081063813688787, 0.09992952735097699, 0.10123971778443927, 0.15070828421124868, 0.15070828421124868, 0.15346850171258525, 0.15300476657081194, 0.15300476657081194, 0.15300476657081194, 0.09241565611763772
bob
WINNER
Conquer the continents of NORTH AMERICA and AUSTRALIA., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72
Occupy-Europe-Australia-Asia, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07990107951832676, 0.07990107951832676, 0.07990107951832676, 0.07931706149900246, 0.07931706149900246, 0.07931706149900246, 0.07872986021534303, 0.07872986021534303, 0.07872986021534303, 0.07813957036633759, 0.07813957036633759, 0.07813957036633759, 0.07754628891672169, 0.07754628891672169, 0.07754628891672169, 0.07695011504347733, 0.07695011504347733, 0.07695011504347733, 0.07635115007899067, 0.07635115007899067, 0.07635115007899067, 0.07712237307423678, 0.07712237307423678, 0.07712237307423678, 0.07789343870945235, 0.07789343870945235, 0.07789343870945235, 0.07866418975301143, 0.07866418975301143, 0.07866418975301143, 0.0794344692298744, 0.0794344692298744, 0.0794344692298744, 0.07880851982214031, 0.07880851982214031, 0.07880851982214031, 0.07957210623309213, 0.07957210623309213, 0.07957210623309213, 0.0789373794049564, 0.0789373794049564, 0.0789373794049564, 0.07830005291090893, 0.07830005291090893, 0.07830005291090893, 0.0776602415883374, 0.0776602415883374, 0.0776602415883374, 0.02077409732237715, 0.019550022936255587, 0.01958658310714264, 0.024750570163392483, 0.024750570163392483, 0.024750570163392483, 0.01773736500510327, 0.017359308024177796, 0.017359308024177796
Occupy-Europe-South-America-North-America, 0.08445945837098895, 0.08445945837098895, 0.08445945837098895, 0.08559298603135368, 0.08559298603135368, 0.08559298603135368, 0.08673375596977172, 0.08673375596977172, 0.08673375596977172, 0.08788160281193548, 0.08788160281193548, 0.08788160281193548, 0.089036356219619, 0.089036356219619, 0.089036356219619, 0.09019784096334642, 0.09019784096334642, 0.09019784096334642, 0.09136587700199511, 0.09136587700199511, 0.09136587700199511, 0.09254027956931392, 0.09254027956931392, 0.09254027956931392, 0.09372085926732486, 0.09372085926732486, 0.09372085926732486, 0.09490742216655662, 0.09490742216655662, 0.09490742216655662, 0.0960997699130453, 0.0960997699130453, 0.0960997699130453, 0.09729769984201866, 0.09729769984201866, 0.09729769984201866, 0.09631489573985275, 0.09631489573985275, 0.09631489573985275, 0.09533229216864147, 0.09533229216864147, 0.09533229216864147, 0.09435008949570796, 0.09435008949570796, 0.09435008949570796, 0.09336848776139559, 0.09336848776139559, 0.09336848776139559, 0.09452319945822062, 0.09452319945822062, 0.09452319945822062, 0.093530268396113, 0.093530268396113, 0.093530268396113, 0.09467775406825665, 0.09467775406825665, 0.09467775406825665, 0.09582993952502239, 0.09582993952502239, 0.09582993952502239, 0.09698661715858405, 0.09698661715858405, 0.09698661715858405, 0.05584971201032481, 0.05695973480078198, 0.0570662542480884, 0.03725079981707058, 0.03725079981707058, 0.03725079981707058, 0.037796711623858024, 0.03851635270892351, 0.03851635270892351
Occupy-Asia-Africa, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07990107951832676, 0.07990107951832676, 0.07990107951832676, 0.07931706149900246, 0.07931706149900246, 0.07931706149900246, 0.07872986021534303, 0.07872986021534303, 0.07872986021534303, 0.07813957036633759, 0.07813957036633759, 0.07813957036633759, 0.07754628891672169, 0.07754628891672169, 0.07754628891672169, 0.07695011504347733, 0.07695011504347733, 0.07695011504347733, 0.07635115007899067, 0.07635115007899067, 0.07635115007899067, 0.07557992708374457, 0.07557992708374457, 0.07557992708374457, 0.07480886144852898, 0.07480886144852898, 0.07480886144852898, 0.07403811040496991, 0.07403811040496991, 0.07403811040496991, 0.07326783092810692, 0.07326783092810692, 0.07326783092810692, 0.07269047507969442, 0.07269047507969442, 0.07269047507969442, 0.07192688866874257, 0.07192688866874257, 0.07192688866874257, 0.07135314583267073, 0.07135314583267073, 0.07135314583267073, 0.07077705310428788, 0.07077705310428788, 0.07077705310428788, 0.07019871428750707, 0.07019871428750707, 0.07019871428750707, 0.0037121434852975866, 0.003564706515040501, 0.0034999454249259004, 0.003679273507972131, 0.003679273507972131, 0.003679273507972131, 0.0028165090435596334, 0.002812732116543188, 0.002812732116543188
Occupy-Europe-South-America-Africa, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07990107951832676, 0.07990107951832676, 0.07990107951832676, 0.07931706149900246, 0.07931706149900246, 0.07931706149900246, 0.07872986021534303, 0.07872986021534303, 0.07872986021534303, 0.07813957036633759, 0.07813957036633759, 0.07813957036633759, 0.07754628891672169, 0.07754628891672169, 0.07754628891672169, 0.07695011504347733, 0.07695011504347733, 0.07695011504347733, 0.07635115007899067, 0.07635115007899067, 0.07635115007899067, 0.07557992708374457, 0.07557992708374457, 0.07557992708374457, 0.07480886144852898, 0.07480886144852898, 0.07480886144852898, 0.07403811040496991, 0.07403811040496991, 0.07403811040496991, 0.07326783092810692, 0.07326783092810692, 0.07326783092810692, 0.07269047507969442, 0.07269047507969442, 0.07269047507969442, 0.07192688866874257, 0.07192688866874257, 0.07192688866874257, 0.07135314583267073, 0.07135314583267073, 0.07135314583267073, 0.07077705310428788, 0.07077705310428788, 0.07077705310428788, 0.07019871428750707, 0.07019871428750707, 0.07019871428750707, 0.007088269043809861, 0.007234936410807205, 0.007103497155739002, 0.005089032425848283, 0.005089032425848283, 0.005089032425848283, 0.003647028131642227, 0.0037164667459861976, 0.0037164667459861976
Occupy-Europe-Australia-South-America, 0.0827702708145055, 0.0827702708145055, 0.0827702708145055, 0.08220350698432313, 0.08220350698432313, 0.08220350698432313, 0.08163312201511416, 0.08163312201511416, 0.08163312201511416, 0.08105919859403225, 0.08105919859403225, 0.08105919859403225, 0.08048182189019053, 0.08048182189019053, 0.08048182189019053, 0.07990107951832676, 0.07990107951832676, 0.07990107951832676, 0.07931706149900246, 0.07931706149900246, 0.07931706149900246, 0.07872986021534303, 0.07872986021534303, 0.07872986021534303, 0.07813957036633759, 0.07813957036633759, 0.07813957036633759, 0.07754628891672169, 0.07754628891672169, 0.07754628891672169, 0.07695011504347733, 0.07695011504347733, 0.07695011504347733, 0.07635115007899067, 0.07635115007899067, 0.07635115007899067, 0.07712237307423678, 0.07712237307423678, 0.07712237307423678, 0.07789343870945235, 0.07789343870945235, 0.07789343870945235, 0.07866418975301143, 0.07866418975301143, 0.07866418975301143, 0.0794344692298744, 0.0794344692298744, 0.0794344692298744, 0.07880851982214031, 0.07880851982214031, 0.07880851982214031, 0.07957210623309213, 0.07957210623309213, 0.07957210623309213, 0.0789373794049564, 0.0789373794049564, 0.0789373794049564, 0.07830005291090893, 0.07830005291090893, 0.07830005291090893, 0.0776602415883374, 0.0776602415883374, 0.0776602415883374, 0.0762622168000631, 0.07628339873890384, 0.07642605504692114, 0.07743617266614156, 0.07743617266614156, 0.07743617266614156, 0.056755455305914214, 0.05667934647432153, 0.05667934647432153
