s0914007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOSER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conquer the continents of ASIA and SOUTH AMERICA., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66, Turn 67, Turn 68, Turn 69, Turn 70, Turn 71, Turn 72, Turn 73, Turn 74, Turn 75, Turn 76, Turn 77, Turn 78, Turn 79, Turn 80, Turn 81, Turn 82, Turn 83, Turn 84, Turn 85, Turn 86, Turn 87, Turn 88, Turn 89, Turn 90, Turn 91, Turn 92
Occupy-Europe-South-America-North-America,0.083333333,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081889264,0.081889264,0.081889264,0.081889264,0.081889264,0.08130882,0.08130882,0.08130882,0.080724952,0.080724952,0.080724952,0.080724952,0.081275097,0.081275097,0.081275097,0.081275097,0.081821562,0.081821562,0.081821562,0.081821562,0.082364275,0.082364275,0.082364275,0.082364275,0.08319631,0.08319631,0.08319631,0.08319631,0.084028177,0.084028177,0.084028177,0.084028177,0.084859706,0.084859706,0.084859706,0.084859706,0.085690728,0.085690728,0.085690728,0.085690728,0.086521073,0.086521073,0.086521073,0.086521073,0.087350574,0.087350574,0.087350574,0.087350574,0.088563677,0.088563677,0.088563677,0.088563677,0.08940659,0.08940659,0.08940659,0.08940659,0.090248358,0.090248358,0.090248358,0.090836565,0.060064779,0.05951847,0.058682087,0.058682087,0.050718216,0.050718216,0.051580455,0.052303859,0.057882149,0.057882149,0.057733958,0.059723989,0.059723989
Occupy-Asia-Africa,0.083333333,0.083333333,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.086733756,0.086733756,0.086733756,0.086733756,0.087881603,0.087881603,0.087881603,0.087881603,0.087005902,0.087005902,0.087005902,0.087005902,0.087005902,0.088152234,0.088152234,0.088152234,0.089305329,0.089305329,0.089305329,0.089305329,0.088115672,0.088115672,0.088115672,0.088115672,0.08693397,0.08693397,0.08693397,0.08693397,0.085760383,0.085760383,0.085760383,0.085760383,0.084894192,0.084894192,0.084894192,0.084894192,0.084028177,0.084028177,0.084028177,0.084028177,0.083162513,0.083162513,0.083162513,0.083162513,0.082297378,0.082297378,0.082297378,0.082297378,0.081432947,0.081432947,0.081432947,0.081432947,0.080569395,0.080569395,0.080569395,0.080569395,0.080054558,0.080054558,0.080054558,0.080054558,0.079200156,0.079200156,0.079200156,0.079200156,0.078346915,0.078346915,0.078346915,0.077280402,0.059784157,0.060449387,0.060816247,0.060816247,0.048507374,0.048507374,0.04739744,0.047082095,0.028454342,0.028454342,0.028972295,0.018125812,0.018125812
Occupy-Europe-South-America-Africa,0.083333333,0.083333333,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.086733756,0.086733756,0.086733756,0.086733756,0.087881603,0.087881603,0.087881603,0.087881603,0.088781531,0.088781531,0.088781531,0.088781531,0.088781531,0.089951258,0.089951258,0.089951258,0.091127885,0.091127885,0.091127885,0.091127885,0.091748926,0.091748926,0.091748926,0.091748926,0.092365814,0.092365814,0.092365814,0.092365814,0.092978465,0.092978465,0.092978465,0.092978465,0.093917724,0.093917724,0.093917724,0.093917724,0.094856793,0.094856793,0.094856793,0.094856793,0.09579548,0.09579548,0.09579548,0.09579548,0.096733594,0.096733594,0.096733594,0.096733594,0.097670946,0.097670946,0.097670946,0.097670946,0.098607343,0.098607343,0.098607343,0.098607343,0.097977244,0.097977244,0.097977244,0.097977244,0.098909752,0.098909752,0.098909752,0.098909752,0.099840993,0.099840993,0.099840993,0.10049172,0.223169394,0.216716809,0.218032035,0.218032035,0.258349017,0.258349017,0.257589318,0.255875522,0.270495895,0.270495895,0.269803368,0.279103215,0.279103215
Occupy-Europe-Australia-South-America,0.083333333,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081889264,0.081889264,0.081889264,0.081889264,0.081889264,0.08130882,0.08130882,0.08130882,0.080724952,0.080724952,0.080724952,0.080724952,0.081275097,0.081275097,0.081275097,0.081275097,0.081821562,0.081821562,0.081821562,0.081821562,0.082364275,0.082364275,0.082364275,0.082364275,0.08319631,0.08319631,0.08319631,0.08319631,0.084028177,0.084028177,0.084028177,0.084028177,0.084859706,0.084859706,0.084859706,0.084859706,0.085690728,0.085690728,0.085690728,0.085690728,0.086521073,0.086521073,0.086521073,0.086521073,0.087350574,0.087350574,0.087350574,0.087350574,0.086792406,0.086792406,0.086792406,0.086792406,0.08761846,0.08761846,0.08761846,0.08761846,0.088443393,0.088443393,0.088443393,0.089019835,0.068089422,0.067470127,0.067879595,0.067879595,0.065981231,0.065981231,0.065787207,0.066709857,0.084332508,0.084332508,0.084116599,0.094163909,0.094163909
Occupy-Europe-South-America-Australia,0.083333333,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081889264,0.081889264,0.081889264,0.081889264,0.081889264,0.08130882,0.08130882,0.08130882,0.080724952,0.080724952,0.080724952,0.080724952,0.081275097,0.081275097,0.081275097,0.081275097,0.081821562,0.081821562,0.081821562,0.081821562,0.082364275,0.082364275,0.082364275,0.082364275,0.08319631,0.08319631,0.08319631,0.08319631,0.084028177,0.084028177,0.084028177,0.084028177,0.084859706,0.084859706,0.084859706,0.084859706,0.085690728,0.085690728,0.085690728,0.085690728,0.086521073,0.086521073,0.086521073,0.086521073,0.087350574,0.087350574,0.087350574,0.087350574,0.086792406,0.086792406,0.086792406,0.086792406,0.08761846,0.08761846,0.08761846,0.08761846,0.088443393,0.088443393,0.088443393,0.089019835,0.068089422,0.067470127,0.067879595,0.067879595,0.065981231,0.065981231,0.065787207,0.066709857,0.084332508,0.084332508,0.084116599,0.094163909,0.094163909
Occupy-Europe-Australia-Africa,0.083333333,0.083333333,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.086733756,0.086733756,0.086733756,0.086733756,0.087881603,0.087881603,0.087881603,0.087881603,0.087005902,0.087005902,0.087005902,0.087005902,0.087005902,0.088152234,0.088152234,0.088152234,0.089305329,0.089305329,0.089305329,0.089305329,0.089913949,0.089913949,0.089913949,0.089913949,0.090518499,0.090518499,0.090518499,0.090518499,0.091118898,0.091118898,0.091118898,0.091118898,0.090198586,0.090198586,0.090198586,0.090198586,0.08927846,0.08927846,0.08927846,0.08927846,0.088358707,0.088358707,0.088358707,0.088358707,0.087439516,0.087439516,0.087439516,0.087439516,0.086521073,0.086521073,0.086521073,0.086521073,0.085603564,0.085603564,0.085603564,0.085603564,0.085056559,0.085056559,0.085056559,0.085056559,0.084148772,0.084148772,0.084148772,0.084148772,0.083242219,0.083242219,0.083242219,0.083784762,0.212981487,0.215351375,0.216658314,0.216658314,0.256721278,0.256721278,0.255966365,0.254263367,0.268791623,0.268791623,0.26810346,0.277344712,0.277344712
Occupy-Europe-Australia-North-America,0.083333333,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.08025148,0.08025148,0.08025148,0.08025148,0.08025148,0.079682646,0.079682646,0.079682646,0.079110455,0.079110455,0.079110455,0.079110455,0.079649596,0.079649596,0.079649596,0.079649596,0.080185132,0.080185132,0.080185132,0.080185132,0.080716991,0.080716991,0.080716991,0.080716991,0.079901739,0.079901739,0.079901739,0.079901739,0.079086652,0.079086652,0.079086652,0.079086652,0.078271897,0.078271897,0.078271897,0.078271897,0.077457638,0.077457638,0.077457638,0.077457638,0.076644042,0.076644042,0.076644042,0.076644042,0.075831274,0.075831274,0.075831274,0.075831274,0.0768844,0.0768844,0.0768844,0.0768844,0.076063833,0.076063833,0.076063833,0.076063833,0.07524438,0.07524438,0.07524438,0.075734796,0.059788964,0.061688007,0.060821137,0.060821137,0.052566971,0.052566971,0.05346064,0.054210413,0.05999204,0.05999204,0.059838447,0.061901017,0.061901017
Occupy-North-America-Australia,0.083333333,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.08025148,0.08025148,0.08025148,0.08025148,0.08025148,0.079682646,0.079682646,0.079682646,0.079110455,0.079110455,0.079110455,0.079110455,0.078056606,0.078056606,0.078056606,0.078056606,0.077009804,0.077009804,0.077009804,0.077009804,0.07597019,0.07597019,0.07597019,0.07597019,0.075202882,0.075202882,0.075202882,0.075202882,0.074435729,0.074435729,0.074435729,0.074435729,0.073668887,0.073668887,0.073668887,0.073668887,0.072902514,0.072902514,0.072902514,0.072902514,0.072136764,0.072136764,0.072136764,0.072136764,0.071371793,0.071371793,0.071371793,0.071371793,0.072362987,0.072362987,0.072362987,0.072362987,0.071590675,0.071590675,0.071590675,0.071590675,0.070819413,0.070819413,0.070819413,0.071280988,0.043675296,0.045062529,0.044429289,0.044429289,0.031597456,0.031597456,0.032134631,0.032585312,0.022168837,0.022168837,0.022572375,0.016099413,0.016099413
Occupy-Asia-South-America,0.083333333,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081889264,0.081889264,0.081889264,0.081889264,0.081889264,0.08130882,0.08130882,0.08130882,0.080724952,0.080724952,0.080724952,0.080724952,0.079649596,0.079649596,0.079649596,0.079649596,0.078581431,0.078581431,0.078581431,0.078581431,0.077520601,0.077520601,0.077520601,0.077520601,0.078303706,0.078303706,0.078303706,0.078303706,0.079086652,0.079086652,0.079086652,0.079086652,0.079869281,0.079869281,0.079869281,0.079869281,0.080651432,0.080651432,0.080651432,0.080651432,0.081432947,0.081432947,0.081432947,0.081432947,0.082213666,0.082213666,0.082213666,0.082213666,0.081688322,0.081688322,0.081688322,0.081688322,0.082465799,0.082465799,0.082465799,0.082465799,0.083242219,0.083242219,0.083242219,0.082109068,0.018705701,0.018535567,0.018648057,0.018648057,0.012201798,0.012201798,0.011922599,0.012089811,0.009068928,0.009068928,0.009234009,0.00637944,0.00637944
Occupy-Europe-South-America-Asia,0.083333333,0.083333333,0.083333333,0.082770271,0.082770271,0.082770271,0.082770271,0.082203507,0.082203507,0.082203507,0.082203507,0.081633122,0.081633122,0.081633122,0.081633122,0.081059199,0.081059199,0.081059199,0.081059199,0.081889264,0.081889264,0.081889264,0.081889264,0.081889264,0.08130882,0.08130882,0.08130882,0.080724952,0.080724952,0.080724952,0.080724952,0.081275097,0.081275097,0.081275097,0.081275097,0.081821562,0.081821562,0.081821562,0.081821562,0.082364275,0.082364275,0.082364275,0.082364275,0.08319631,0.08319631,0.08319631,0.08319631,0.084028177,0.084028177,0.084028177,0.084028177,0.084859706,0.084859706,0.084859706,0.084859706,0.085690728,0.085690728,0.085690728,0.085690728,0.086521073,0.086521073,0.086521073,0.086521073,0.087350574,0.087350574,0.087350574,0.087350574,0.086792406,0.086792406,0.086792406,0.086792406,0.08761846,0.08761846,0.08761846,0.08761846,0.088443393,0.088443393,0.088443393,0.08723944,0.025659498,0.025426117,0.025580424,0.025580424,0.020403088,0.020403088,0.019936229,0.02021583,0.024685858,0.024685858,0.024622657,0.024790634,0.024790634
Occupy-North-America-Africa,0.083333333,0.083333333,0.083333333,0.084459458,0.084459458,0.084459458,0.084459458,0.085592986,0.085592986,0.085592986,0.085592986,0.086733756,0.086733756,0.086733756,0.086733756,0.087881603,0.087881603,0.087881603,0.087881603,0.087005902,0.087005902,0.087005902,0.087005902,0.087005902,0.088152234,0.088152234,0.088152234,0.089305329,0.089305329,0.089305329,0.089305329,0.088115672,0.088115672,0.088115672,0.088115672,0.08693397,0.08693397,0.08693397,0.08693397,0.085760383,0.085760383,0.085760383,0.085760383,0.084894192,0.084894192,0.084894192,0.084894192,0.084028177,0.084028177,0.084028177,0.084028177,0.083162513,0.083162513,0.083162513,0.083162513,0.082297378,0.082297378,0.082297378,0.082297378,0.081432947,0.081432947,0.081432947,0.081432947,0.080569395,0.080569395,0.080569395,0.080569395,0.081688322,0.081688322,0.081688322,0.081688322,0.080816484,0.080816484,0.080816484,0.080816484,0.07994583,0.07994583,0.07994583,0.080466888,0.133854898,0.135344328,0.133442404,0.133442404,0.115332651,0.115332651,0.117293373,0.116512995,0.063613282,0.063613282,0.064771233,0.041910792,0.041910792
