Aneesh
WINNER
Conquer the continents of EUROPE and SOUTH AMERICA and a third continent of your choice., Turn 1, Turn 2, Turn 3, Turn 4, Turn 5, Turn 6, Turn 7, Turn 8, Turn 9, Turn 10, Turn 11, Turn 12, Turn 13, Turn 14, Turn 15, Turn 16, Turn 17, Turn 18, Turn 19, Turn 20, Turn 21, Turn 22, Turn 23, Turn 24, Turn 25, Turn 26, Turn 27, Turn 28, Turn 29, Turn 30, Turn 31, Turn 32, Turn 33, Turn 34, Turn 35, Turn 36, Turn 37, Turn 38, Turn 39, Turn 40, Turn 41, Turn 42, Turn 43, Turn 44, Turn 45, Turn 46, Turn 47, Turn 48, Turn 49, Turn 50, Turn 51, Turn 52, Turn 53, Turn 54, Turn 55, Turn 56, Turn 57, Turn 58, Turn 59, Turn 60, Turn 61, Turn 62, Turn 63, Turn 64, Turn 65, Turn 66
Occupy-Europe-Australia-Asia, 0.08333333333333333, 0.08166666825612386, 0.0827702708145055, 0.0827702708145055, 0.08332766479563, 0.08332766479563, 0.08332766479563, 0.0827589730724745, 0.0827589730724745, 0.0827589730724745, 0.08331066149604698, 0.08331066149604698, 0.08331066149604698, 0.08444228234078105, 0.08444228234078105, 0.08444228234078105, 0.08444228234078105, 0.08558149900496936, 0.08558149900496936, 0.08672815342601156, 0.08672815342601156, 0.08672815342601156, 0.087304440958651, 0.087304440958651, 0.087304440958651, 0.08787668181032018, 0.08787668181032018, 0.08787668181032018, 0.08727808186346811, 0.08727808186346811, 0.08727808186346811, 0.08784433632257999, 0.08784433632257999, 0.08784433632257999, 0.08902036777819543, 0.08902036777819543, 0.08902036777819543, 0.08840902338192934, 0.08840902338192934, 0.08840902338192934, 0.08958550633351171, 0.08958550633351171, 0.08958550633351171, 0.08896323626020425, 0.08896323626020425, 0.08896323626020425, 0.0901399117459359, 0.0901399117459359, 0.0901399117459359, 0.0907271826003688, 0.0907271826003688, 0.0907271826003688, 0.09131017997934905, 0.09131017997934905, 0.09131017997934905, 0.09188883269581066, 0.09188883269581066, 0.09188883269581066, 0.09188883269581066, 0.09246307237945858, 0.09246307237945858, 0.09303283348595477, 0.09303283348595477, 0.09116236744153837, 0.14230076733445723, 0.14379975601724
Occupy-Europe-South-America-North-America, 0.08333333333333333, 0.08166666825612386, 0.0827702708145055, 0.0827702708145055, 0.08332766479563, 0.08332766479563, 0.08332766479563, 0.0827589730724745, 0.0827589730724745, 0.0827589730724745, 0.08331066149604698, 0.08331066149604698, 0.08331066149604698, 0.08275343830457416, 0.08275343830457416, 0.08275343830457416, 0.08109837111687924, 0.08219247484375422, 0.08219247484375422, 0.08162784894543958, 0.08162784894543958, 0.08162784894543958, 0.08217024619252918, 0.08217024619252918, 0.08217024619252918, 0.08270883473564063, 0.08270883473564063, 0.08270883473564063, 0.08214543722156727, 0.08214543722156727, 0.08214543722156727, 0.08267839141956594, 0.08267839141956594, 0.08267839141956594, 0.08210955922240551, 0.08210955922240551, 0.08210955922240551, 0.08154567457259627, 0.08154567457259627, 0.08154567457259627, 0.08097821014700862, 0.08097821014700862, 0.08097821014700862, 0.08041572723178245, 0.08041572723178245, 0.08041572723178245, 0.07984976335646171, 0.07984976335646171, 0.07984976335646171, 0.08036999282911512, 0.08036999282911512, 0.08036999282911512, 0.08088643667565694, 0.08088643667565694, 0.08088643667565694, 0.08139903183555974, 0.08139903183555974, 0.08139903183555974, 0.08139903183555974, 0.08190771774351154, 0.08190771774351154, 0.08241243633755306, 0.08241243633755306, 0.084051637619901, 0.007616637065221233, 0.007696870313259844
Occupy-Asia-Africa, 0.08333333333333333, 0.08333333333333333, 0.08445945837098895, 0.08445945837098895, 0.08332766479563, 0.08332766479563, 0.08332766479563, 0.08444793006301843, 0.08444793006301843, 0.08444793006301843, 0.08331066149604698, 0.08331066149604698, 0.08331066149604698, 0.08444228234078105, 0.08444228234078105, 0.08444228234078105, 0.08444228234078105, 0.08558149900496936, 0.08558149900496936, 0.08672815342601156, 0.08672815342601156, 0.08672815342601156, 0.08555835380467805, 0.08555835380467805, 0.08555835380467805, 0.08439676849581633, 0.08439676849581633, 0.08439676849581633, 0.08553252189089605, 0.08553252189089605, 0.08553252189089605, 0.08436570388818145, 0.08436570388818145, 0.08436570388818145, 0.0854951645421193, 0.0854951645421193, 0.0854951645421193, 0.08664084460055904, 0.08664084460055904, 0.08664084460055904, 0.0877937979155494, 0.0877937979155494, 0.0877937979155494, 0.08896323626020425, 0.08896323626020425, 0.08896323626020425, 0.0901399117459359, 0.0901399117459359, 0.0901399117459359, 0.08891264067884509, 0.08891264067884509, 0.08891264067884509, 0.08769430026570965, 0.08769430026570965, 0.08769430026570965, 0.08648503927234301, 0.08648503927234301, 0.08648503927234301, 0.08648503927234301, 0.08528500057810724, 0.08528500057810724, 0.08409432115671547, 0.08409432115671547, 0.08408527166441482, 0.42056626914411144, 0.41649657003167945
Occupy-Europe-South-America-Africa, 0.08333333333333333, 0.08333333333333333, 0.08445945837098895, 0.08445945837098895, 0.08502822772841354, 0.08502822772841354, 0.08502822772841354, 0.08617135553003087, 0.08617135553003087, 0.08617135553003087, 0.08674579160051998, 0.08674579160051998, 0.08674579160051998, 0.08616559254826817, 0.08616559254826817, 0.08616559254826817, 0.08444228234078105, 0.08558149900496936, 0.08558149900496936, 0.08499359201169958, 0.08499359201169958, 0.08499359201169958, 0.08555835380467805, 0.08555835380467805, 0.08555835380467805, 0.08611914985022848, 0.08611914985022848, 0.08611914985022848, 0.08727808186346812, 0.08727808186346812, 0.08727808186346812, 0.08784433632258, 0.08784433632258, 0.08784433632258, 0.0872399621205603, 0.0872399621205603, 0.0872399621205603, 0.08840902338192935, 0.08840902338192935, 0.08840902338192935, 0.08779379791554943, 0.08779379791554943, 0.08779379791554943, 0.08896323626020428, 0.08896323626020428, 0.08896323626020428, 0.08833711523029958, 0.08833711523029958, 0.08833711523029958, 0.08891264067884512, 0.08891264067884512, 0.08891264067884512, 0.08948397812136556, 0.08948397812136556, 0.08948397812136556, 0.09005105779453486, 0.09005105779453486, 0.09005105779453486, 0.09005105779453486, 0.09061381269546256, 0.09061381269546256, 0.09117217859069617, 0.09117217859069617, 0.09298561305158498, 0.022933856361532296, 0.022711932013987465
Occupy-Europe-Australia-South-America, 0.08333333333333333, 0.08166666825612386, 0.0827702708145055, 0.0827702708145055, 0.08332766479563, 0.08332766479563, 0.08332766479563, 0.0827589730724745, 0.0827589730724745, 0.0827589730724745, 0.08331066149604698, 0.08331066149604698, 0.08331066149604698, 0.08275343830457416, 0.08275343830457416, 0.08275343830457416, 0.08275343830457416, 0.08219247484375422, 0.08219247484375422, 0.08162784894543958, 0.08162784894543958, 0.08162784894543958, 0.08217024619252918, 0.08217024619252918, 0.08217024619252918, 0.08270883473564063, 0.08270883473564063, 0.08270883473564063, 0.08214543722156727, 0.08214543722156727, 0.08214543722156727, 0.08267839141956594, 0.08267839141956594, 0.08267839141956594, 0.08210955922240551, 0.08210955922240551, 0.08210955922240551, 0.08154567457259627, 0.08154567457259627, 0.08154567457259627, 0.08097821014700862, 0.08097821014700862, 0.08097821014700862, 0.08041572723178245, 0.08041572723178245, 0.08041572723178245, 0.07984976335646171, 0.07984976335646171, 0.07984976335646171, 0.08036999282911512, 0.08036999282911512, 0.08036999282911512, 0.08088643667565694, 0.08088643667565694, 0.08088643667565694, 0.08139903183555974, 0.08139903183555974, 0.08139903183555974, 0.08139903183555974, 0.08190771774351154, 0.08190771774351154, 0.08241243633755306, 0.08241243633755306, 0.08237060647066075, 0.012768751422481557, 0.012903256767983873
Occupy-Europe-South-America-Australia, 0.08333333333333333, 0.08166666825612386, 0.0827702708145055, 0.0827702708145055, 0.08332766479563, 0.08332766479563, 0.08332766479563, 0.0827589730724745, 0.0827589730724745, 0.0827589730724745, 0.08331066149604698, 0.08331066149604698, 0.08331066149604698, 0.08275343830457416, 0.08275343830457416, 0.08275343830457416, 0.08275343830457416, 0.08219247484375422, 0.08219247484375422, 0.08162784894543958, 0.08162784894543958, 0.08162784894543958, 0.08217024619252918, 0.08217024619252918, 0.08217024619252918, 0.08270883473564063, 0.08270883473564063, 0.08270883473564063, 0.08214543722156727, 0.08214543722156727, 0.08214543722156727, 0.08267839141956594, 0.08267839141956594, 0.08267839141956594, 0.08210955922240551, 0.08210955922240551, 0.08210955922240551, 0.08154567457259627, 0.08154567457259627, 0.08154567457259627, 0.08097821014700862, 0.08097821014700862, 0.08097821014700862, 0.08041572723178245, 0.08041572723178245, 0.08041572723178245, 0.07984976335646171, 0.07984976335646171, 0.07984976335646171, 0.08036999282911512, 0.08036999282911512, 0.08036999282911512, 0.08088643667565694, 0.08088643667565694, 0.08088643667565694, 0.08139903183555974, 0.08139903183555974, 0.08139903183555974, 0.08139903183555974, 0.08190771774351154, 0.08190771774351154, 0.08241243633755306, 0.08241243633755306, 0.08237060647066075, 0.012768751422481557, 0.012903256767983873
Occupy-North-America-Australia, 0.08333333333333333, 0.08166666825612386, 0.0827702708145055, 0.0827702708145055, 0.08166111308906648, 0.08166111308906648, 0.08166111308906648, 0.08110379518952716, 0.08110379518952716, 0.08110379518952716, 0.0800115624152921, 0.0800115624152921, 0.0800115624152921, 0.07947640524137034, 0.07947640524137034, 0.07947640524137034, 0.07947640524137034, 0.07893765591262779, 0.07893765591262779, 0.07839538917877842, 0.07839538917877842, 0.07839538917877842, 0.07733798287006617, 0.07733798287006617, 0.07733798287006617, 0.07628800164995116, 0.07628800164995116, 0.07628800164995116, 0.0757683416810907, 0.0757683416810907, 0.0757683416810907, 0.07473472472282891, 0.07473472472282891, 0.07473472472282891, 0.07422054541988947, 0.07422054541988947, 0.07422054541988947, 0.07371083830832913, 0.07371083830832913, 0.07371083830832913, 0.07319789536267991, 0.07319789536267991, 0.07319789536267991, 0.07268945530828409, 0.07268945530828409, 0.07268945530828409, 0.07217786874135979, 0.07217786874135979, 0.07217786874135979, 0.07119515411168252, 0.07119515411168252, 0.07119515411168252, 0.07021959053814099, 0.07021959053814099, 0.07021959053814099, 0.06925129714221143, 0.06925129714221143, 0.06925129714221143, 0.06925129714221143, 0.0682903883319029, 0.0682903883319029, 0.06733697378638524, 0.06733697378638524, 0.06598313430540022, 0.024523434996552393, 0.024781763551003477
Occupy-Europe-Australia-North-America, 0.08333333333333333, 0.08166666825612386, 0.0827702708145055, 0.0827702708145055, 0.08332766479563, 0.08332766479563, 0.08332766479563, 0.0827589730724745, 0.0827589730724745, 0.0827589730724745, 0.08331066149604698, 0.08331066149604698, 0.08331066149604698, 0.08275343830457416, 0.08275343830457416, 0.08275343830457416, 0.08275343830457416, 0.08219247484375422, 0.08219247484375422, 0.08162784894543958, 0.08162784894543958, 0.08162784894543958, 0.08217024619252918, 0.08217024619252918, 0.08217024619252918, 0.08270883473564063, 0.08270883473564063, 0.08270883473564063, 0.08214543722156727, 0.08214543722156727, 0.08214543722156727, 0.08267839141956594, 0.08267839141956594, 0.08267839141956594, 0.08210955922240551, 0.08210955922240551, 0.08210955922240551, 0.08154567457259627, 0.08154567457259627, 0.08154567457259627, 0.08097821014700862, 0.08097821014700862, 0.08097821014700862, 0.08041572723178245, 0.08041572723178245, 0.08041572723178245, 0.07984976335646171, 0.07984976335646171, 0.07984976335646171, 0.08036999282911512, 0.08036999282911512, 0.08036999282911512, 0.08088643667565694, 0.08088643667565694, 0.08088643667565694, 0.08139903183555974, 0.08139903183555974, 0.08139903183555974, 0.08139903183555974, 0.08190771774351154, 0.08190771774351154, 0.08241243633755306, 0.08241243633755306, 0.08075549804995062, 0.01221305754304236, 0.012341709238898409
